"CChny_HanyouUniqueKey","CChny_HanyouCodeKey","CChny_Sort","CChny_HanyouCodeValue","CChny_HanyouCodeNaiyou","CChny_HanyouCodeSetumei"
"JIGYOUSKSAKI07","JIGYOUSKSAKI",7,"7","社外","社外"
"JIGYOUSKSAKI08","JIGYOUSKSAKI",8,"8","廃業","廃業"
"JIGYOUSKSAKI09","JIGYOUSKSAKI",9,"9","未定","未定"
"JIGYOUSKSIEN01","JIGYOUSKSIEN",1,"1","要","要"
"JIGYOUSKSIEN02","JIGYOUSKSIEN",2,"2","否","否"
"JISYOSTUTAS1","JISYOSTUTAS",1,"1","未対応","未対応"
"JISYOSTUTAS2","JISYOSTUTAS",2,"2","対応中","対応中"
"JISYOSTUTAS3","JISYOSTUTAS",3,"3","対応済","対応済"
"JISYOSTUTAS4","JISYOSTUTAS",4,"4","対応不要","対応不要"
"JOKENKUBNGRP1","JOKENKUBNGRP",1,"JOKENKUBNGRP1","条件、指示、仮承認","条件区分-条件、指示、仮承認"
"JOKENKUBNGRP2","JOKENKUBNGRP",2,"JOKENKUBNGRP2","回答書回覧、実行予定","条件区分-回答書回覧、実行予定"
"JYOUKEN1","JYOUKEN",1,"1","無し","無し"
"JYOUKEN2","JYOUKEN",2,"2","据置","元金返済の中間据置"
"JYOUKEN3","JYOUKEN",3,"3","減額","約定返済額の減額"
"JYOUKEN4","JYOUKEN",4,"4","延長","最終返済日の延長"
"JYOUKEN5","JYOUKEN",5,"5","方法","返済方法の変更"
"JYOUKEN6","JYOUKEN",6,"6","周期","返済周期の長期化"
"JYOUKEN7","JYOUKEN",7,"7","与条","与信条件問題先（テールヘビー）"
"JYOUKEN8","JYOUKEN",8,"8","借替","借り替え・合算先"
"JYOUKEN9","JYOUKEN",9,"9","減免","金利減免・棚上げ先"
"K_DAIHYOUSYA01","K_DAIHYOUSYA",1,"1","親族の家に同居","親族の家に同居"
"K_DAIHYOUSYA02","K_DAIHYOUSYA",2,"2","持家（一戸建）","持家（一戸建）"
"K_DAIHYOUSYA03","K_DAIHYOUSYA",3,"3","持家（一戸建除）","持家（一戸建除）"
"K_DAIHYOUSYA04","K_DAIHYOUSYA",4,"4","賃貸マンション","賃貸マンション"
"K_DAIHYOUSYA05","K_DAIHYOUSYA",5,"5","公営住宅","公営住宅"
"K_DAIHYOUSYA06","K_DAIHYOUSYA",6,"6","民間アパート","民間アパート"
"K_DAIHYOUSYA07","K_DAIHYOUSYA",7,"7","民間借家","民間借家"
"K_DAIHYOUSYA08","K_DAIHYOUSYA",8,"8","社宅・官舎","社宅・官舎"
"K_DAIHYOUSYA09","K_DAIHYOUSYA",9,"9","その他","その他"
"K_DIVISION1","K_DIVISION",1,"1","給与所得者","給与所得者"
"K_DIVISION2","K_DIVISION",2,"2","個人事業者","個人事業者"
"K_DIVISION3","K_DIVISION",3,"3","会社役員","会社役員"
"K_DOSANJOHO01","K_DOSANJOHO",1,"1","有価証券","有価証券"
"K_DOSANJOHO02","K_DOSANJOHO",2,"2","入居保証金","入居保証金"
"K_DOSANJOHO03","K_DOSANJOHO",3,"3","ゴルフ会員権","ゴルフ会員権"
"K_DOSANJOHO04","K_DOSANJOHO",4,"4","物権","物権"
"K_DOSANJOHO05","K_DOSANJOHO",5,"5","機械・設備","機械・設備"
"K_DOSANJOHO06","K_DOSANJOHO",6,"6","その他","その他"
"K_EIGYOUNEN1","K_EIGYOUNEN",1,"1","1年未満","2年未満"
"K_EIGYOUNEN2","K_EIGYOUNEN",2,"2","1年以上","1年以上"
"K_EIGYOUNEN3","K_EIGYOUNEN",3,"3","3年以上","3年以上"
"K_EIGYOUNEN4","K_EIGYOUNEN",4,"4","6年以上","6年以上"
"K_EIGYOUNEN5","K_EIGYOUNEN",5,"5","10年以上","10年以上"
"K_EIGYOUNEN6","K_EIGYOUNEN",6,"6","15年以上","15年以上"
"K_EIGYOUNEN7","K_EIGYOUNEN",7,"7","20年以上","20年以上"
"K_FIN_CLOSE1","K_FIN_CLOSE",1,"1","メイン化","メイン化"
"K_FIN_CLOSE2","K_FIN_CLOSE",2,"2","準メイン化","準メイン化"
"K_FIN_CLOSE3","K_FIN_CLOSE",3,"3","メイン化推進先","メイン化推進先"
"K_FIN_HOUSHIN01","K_FIN_HOUSHIN",1,"01","増加","増加"
"K_FIN_HOUSHIN02","K_FIN_HOUSHIN",2,"02","現状維持","現状維持"
"K_FIN_HOUSHIN03","K_FIN_HOUSHIN",3,"03","約定弁済","約定弁済"
"K_FIN_HOUSHIN04","K_FIN_HOUSHIN",4,"04","圧縮","圧縮"
"K_FINTYPE1","K_FINTYPE",1,"1","表面財務ベース","表面財務ベース"
"K_FINTYPE2","K_FINTYPE",2,"2","実態財務ベース","実態財務ベース"
"K_FUDOSANJOHO1","K_FUDOSANJOHO",1,"1","更地","更地"
"K_FUDOSANJOHO10","K_FUDOSANJOHO",10,"10","その他","その他"
"K_FUDOSANJOHO2","K_FUDOSANJOHO",2,"2","事務所","事務所"
"K_FUDOSANJOHO3","K_FUDOSANJOHO",3,"3","店舗","店舗"
"K_FUDOSANJOHO4","K_FUDOSANJOHO",4,"4","工場","工場"
"K_FUDOSANJOHO5","K_FUDOSANJOHO",5,"5","倉庫","倉庫"
"K_FUDOSANJOHO6","K_FUDOSANJOHO",6,"6","共同住宅","共同住宅"
"K_FUDOSANJOHO7","K_FUDOSANJOHO",7,"7","貸家","貸家"
"K_FUDOSANJOHO8","K_FUDOSANJOHO",8,"8","底地","底地"
"K_FUDOSANJOHO9","K_FUDOSANJOHO",9,"9","借地権","借地権"
"K_GYOKAICHII1","K_GYOKAICHII",1,"1","全国上位","全国上位"
"K_GYOKAICHII2","K_GYOKAICHII",2,"2","全国中位","全国中位"
"K_GYOKAICHII3","K_GYOKAICHII",3,"3","全国下位","全国下位"
"K_GYOKAICHII4","K_GYOKAICHII",4,"11","地区上位","地区上位"
"K_GYOKAICHII5","K_GYOKAICHII",5,"12","地区中位","地区中位"
"K_GYOKAICHII6","K_GYOKAICHII",6,"13","地区下位","地区下位"
"K_GYOKAICHII7","K_GYOKAICHII",7,"21","地元上位","地元上位"
"K_GYOKAICHII8","K_GYOKAICHII",8,"22","地元中位","地元中位"
"K_GYOKAICHII9","K_GYOKAICHII",9,"23","地元下位","地元下位"
"K_HYOUJITYPE1","K_HYOUJITYPE",1,"1","借入金合計","借入金合計"
"K_HYOUJITYPE2","K_HYOUJITYPE",2,"2","借入金","借入金"
"K_HYOUJITYPE3","K_HYOUJITYPE",3,"3","預金","預金"
"K_JYUUGYOUIN1","K_JYUUGYOUIN",1,"1","4人以下","4人以下"
"K_JYUUGYOUIN2","K_JYUUGYOUIN",2,"2","5人以上","5人以上"
"K_JYUUGYOUIN3","K_JYUUGYOUIN",3,"3","10人以上","10人以上"
"K_JYUUGYOUIN4","K_JYUUGYOUIN",4,"4","20人以上","20人以上"
"K_JYUUGYOUIN5","K_JYUUGYOUIN",5,"5","50人以上","50人以上"
"K_JYUUGYOUIN6","K_JYUUGYOUIN",6,"6","100人以上","100人以上"
"K_JYUUGYOUIN7","K_JYUUGYOUIN",7,"7","300人以上","300人以上"
"K_KINYUKKN0001","K_KINYUKKN",22,"0001","みずほ銀行","みずほ銀行"
"K_KINYUKKN0005","K_KINYUKKN",26,"0005","三菱UFJ銀行","三菱UFJ銀行"
"K_KINYUKKN0009","K_KINYUKKN",24,"0009","三井住友銀行","三井住友銀行"
"K_KINYUKKN0010","K_KINYUKKN",29,"0010","りそな銀行","りそな銀行"
"K_KINYUKKN0016","K_KINYUKKN",46,"0016","(使用禁止)みずほｺｰﾎﾟ","みずほコーポレート銀行"
"K_KINYUKKN0157","K_KINYUKKN",13,"0157","滋賀銀行","滋賀銀行"
"K_KINYUKKN0158","K_KINYUKKN",7,"0158","京都銀行","京都銀行"
"K_KINYUKKN0159","K_KINYUKKN",54,"0159","(使用禁止)近畿大阪","近畿大阪銀行"
"K_KINYUKKN0161","K_KINYUKKN",3,"0161","池田泉州銀行","池田泉州銀行"
"K_KINYUKKN0162","K_KINYUKKN",19,"0162","南都銀行","南都銀行"
"K_KINYUKKN0288","K_KINYUKKN",27,"0288","三菱UFJ信託銀行","三菱UFJ信託銀行"
"K_KINYUKKN0289","K_KINYUKKN",23,"0289","みずほ信託銀行","みずほ信託銀行"
"K_KINYUKKN0291","K_KINYUKKN",47,"0291","(使用禁止)中央三井信","中央三井信託銀行"
"K_KINYUKKN0294","K_KINYUKKN",25,"0294","三井住友信託銀行","三井住友信託銀行"
"K_KINYUKKN0326","K_KINYUKKN",48,"0326","(使用禁止)りそな信託","りそな信託銀行"
"K_KINYUKKN0397","K_KINYUKKN",17,"0397","SBI 新生銀行","SBI 新生銀行"
"K_KINYUKKN0398","K_KINYUKKN",2,"0398","あおぞら銀行","あおぞら銀行"
"K_KINYUKKN0547","K_KINYUKKN",49,"0547","(使用禁止)びわこ銀行","びわこ銀行"
"K_KINYUKKN0554","K_KINYUKKN",52,"0554","(使用禁止)関西ｱｰﾊﾞﾝ","関西アーバン銀行"
"K_KINYUKKN0555","K_KINYUKKN",53,"0555","(使用禁止)大正銀行","大正銀行"
"K_KINYUKKN1602","K_KINYUKKN",14,"1602","滋賀中央信用金庫","滋賀中央信用金庫"
"K_KINYUKKN1610","K_KINYUKKN",8,"1610","京都信用金庫","京都信用金庫"
"K_KINYUKKN1611","K_KINYUKKN",1,"1611","京都中央信用金庫","京都中央信用金庫"
"K_KINYUKKN1620","K_KINYUKKN",9,"1620","京都北都信用金庫","京都北都信用金庫"
"K_KINYUKKN1633","K_KINYUKKN",4,"1633","大阪厚生信用金庫","大阪厚生信用金庫"
"K_KINYUKKN1645","K_KINYUKKN",6,"1645","北おおさか信用金庫","北おおさか信用金庫"
"K_KINYUKKN1656","K_KINYUKKN",21,"1656","枚方信用金庫","枚方信用金庫"
"K_KINYUKKN1657","K_KINYUKKN",55,"1657","(使用禁止)摂津水都","摂津水都信用金庫"
"K_KINYUKKN1668","K_KINYUKKN",18,"1668","奈良中央信用金庫","奈良中央信用金庫"
"K_KINYUKKN2004","K_KINYUKKN",16,"2004","商工組合中央金庫","商工組合中央金庫"
"K_KINYUKKN2526","K_KINYUKKN",11,"2526","京滋信用組合","京滋信用組合"
"K_KINYUKKN2567","K_KINYUKKN",10,"2567","近畿産業信用組合","近畿産業信用組合"
"K_KINYUKKNA000","K_KINYUKKN",43,"A000","その他","その他"
"K_KINYUKKNA001","K_KINYUKKN",50,"A001","(使用禁止)中小企業","中小企業金融公庫"
"K_KINYUKKNA002","K_KINYUKKN",51,"A002","(使用禁止)国民生活","国民生活金融公庫"
"K_KINYUKKNA003","K_KINYUKKN",15,"A003","住宅金融支援機構","住宅金融支援機構"
"K_KINYUKKNA004","K_KINYUKKN",28,"A004","ゆうちょ銀行","ゆうちょ銀行"
"K_KINYUKKNA005","K_KINYUKKN",45,"A005","その他ノンバンク","その他ノンバンク"
"K_KINYUKKNA006","K_KINYUKKN",44,"A006","その他生命保険会社","その他生命保険会社"
"K_KINYUKKNA007","K_KINYUKKN",12,"A007","JAバンク","JAバンク"
"K_KINYUKKNA008","K_KINYUKKN",20,"A008","日本政策金融公庫","日本政策金融公庫"
"K_KINYUKKNA009","K_KINYUKKN",5,"A009","関西みらい銀行","関西みらい銀行"
"K_KINYUKKNA010","K_KINYUKKN",30,"A010","大阪シティ信用金庫","大阪シティ信用金庫"
"K_KINYUKKNA011","K_KINYUKKN",31,"A011","大阪信用金庫","大阪信用金庫"
"K_KINYUKKNA012","K_KINYUKKN",32,"A012","大阪協栄信用組合","大阪協栄信用組合"
"K_KINYUKKNA013","K_KINYUKKN",33,"A013","尼崎信用金庫","尼崎信用金庫"
"K_KINYUKKNA014","K_KINYUKKN",34,"A014","紀陽銀行","紀陽銀行"
"K_KINYUKKNA015","K_KINYUKKN",35,"A015","大阪商工信用金庫","大阪商工信用金庫"
"K_KINYUKKNA016","K_KINYUKKN",36,"A016","のぞみ信用組合","のぞみ信用組合"
"K_KINYUKKNA017","K_KINYUKKN",37,"A017","大同信用組合","大同信用組合"
"K_KINYUKKNA018","K_KINYUKKN",38,"A018","永和信用金庫","永和信用金庫"
"K_KINYUKKNA019","K_KINYUKKN",39,"A019","ミレ信用組合","ミレ信用組合"
"K_KINYUKKNA020","K_KINYUKKN",40,"A020","播州信用金庫","播州信用金庫"
"K_KINYUKKNA021","K_KINYUKKN",41,"A021","成協信用組合","成協信用組合"
"K_KINYUKKNA022","K_KINYUKKN",42,"A022","徳島大正銀行","徳島大正銀行"
"K_KOUSHOU_TYPE1","K_KOUSHOU_TYPE",1,"1","区分","区分"
"K_KOUSHOU_TYPE2","K_KOUSHOU_TYPE",2,"2","作成日時","作成日時"
"K_KOUSHOU01","K_KOUSHOU",1,"1","営業店","営業店"
"K_KOUSHOU02","K_KOUSHOU",2,"2","本部","本部"
"K_TEMPCUST1","K_TEMPCUST",1,"1","移管日","移管日"
"K_TEMPCUST2","K_TEMPCUST",2,"2","店番(移管前)","店番(移管前)"
"K_TEMPCUST3","K_TEMPCUST",3,"3","店名(移管前)","店名(移管前)"
"K_TEMPCUST4","K_TEMPCUST",4,"4","仮顧客番号","仮顧客番号"
"K_TEMPCUST5","K_TEMPCUST",5,"5","仮顧客名","仮顧客名"
"K_TEMPCUST6","K_TEMPCUST",6,"6","店番(移管後)","店番(移管後)"
"K_TEMPCUST7","K_TEMPCUST",7,"7","店名(移管後)","店名(移管後)"
"K_TEMPCUST8","K_TEMPCUST",8,"8","顧客番号(移管後)","顧客番号(移管後)"
"K_TEMPCUST9","K_TEMPCUST",9,"9","顧客名(移管後)","顧客名(移管後)"
"K_TORIHIKICHII1","K_TORIHIKICHII",1,"1","主力","主力"
"K_TORIHIKICHII2","K_TORIHIKICHII",2,"2","準主力","準主力"
"K_TORIHIKICHII3","K_TORIHIKICHII",3,"3","その他","その他"
"K_WORKCONTENTS1","K_WORKCONTENTS",1,"1","事務","事務"
"K_WORKCONTENTS2","K_WORKCONTENTS",2,"2","労務・製造","労務・製造"
"K_WORKCONTENTS3","K_WORKCONTENTS",3,"3","技術・専門","技術・専門"
"K_WORKCONTENTS4","K_WORKCONTENTS",4,"4","（歩合）営業","（歩合）営業"
"K_WORKCONTENTS5","K_WORKCONTENTS",5,"5","経営","経営"
"K_WORKCONTENTS6","K_WORKCONTENTS",6,"6","その他","その他"
"K_WORKTYPE1","K_WORKTYPE",1,"1","一般","一般"
"K_WORKTYPE2","K_WORKTYPE",2,"2","嘱託","嘱託"
"K_WORKTYPE3","K_WORKTYPE",3,"3","技術・専門","技術・専門"
"K_WORKTYPE4","K_WORKTYPE",4,"4","ﾊﾟｰﾄ","ﾊﾟｰﾄ"
"K_WORKTYPE5","K_WORKTYPE",5,"5","役員","役員"
"K_WORKTYPE6","K_WORKTYPE",6,"6","その他","その他"
"K_YAKUIN1","K_YAKUIN",1,"1","社内昇格","社内昇格"
"K_YAKUIN2","K_YAKUIN",2,"2","社外招聘","社外招聘"
"K_YAKUIN3","K_YAKUIN",3,"3","金融機関招聘","金融機関招聘"
"K_YAKUIN4","K_YAKUIN",4,"4","創業者・代表者子弟","創業者・代表者子弟"
"KABU1","KABU",1,"1","一部上場","一部上場企業"
"KABU2","KABU",2,"2","二部上場","二部上場企業"
"KABU3","KABU",3,"3","店頭","店頭公開企業"
"KABU4","KABU",4,"4","その他","その他の企業"
"KAKUDUKE1","KAKUDUKE",1,"1","A0","A0"
"KAKUDUKE10","KAKUDUKE",10,"10","B9","B9"
"KAKUDUKE11","KAKUDUKE",11,"11","C7","C7"
"KAKUDUKE12","KAKUDUKE",12,"12","C8","C8"
"KAKUDUKE13","KAKUDUKE",13,"13","C9","C9"
"KAKUDUKE14","KAKUDUKE",14,"14","D10","D10"
"KAKUDUKE15","KAKUDUKE",15,"15","E11","E11"
"KAKUDUKE16","KAKUDUKE",16,"16","F12","F12"
"KAKUDUKE17","KAKUDUKE",17,"1","a0","a0"
"KAKUDUKE18","KAKUDUKE",18,"2","a1","a1"
"KAKUDUKE19","KAKUDUKE",19,"3","a2","a2"
"KAKUDUKE2","KAKUDUKE",2,"2","A1","A1"
"KAKUDUKE20","KAKUDUKE",20,"4","a3","a3"
"KAKUDUKE21","KAKUDUKE",21,"5","a4","a4"
"KAKUDUKE22","KAKUDUKE",22,"6","a5","a5"
"KAKUDUKE23","KAKUDUKE",23,"7","a6","a6"
"KAKUDUKE24","KAKUDUKE",24,"8","b7","b7"
"KAKUDUKE25","KAKUDUKE",25,"9","b8","b8"
"KAKUDUKE26","KAKUDUKE",26,"10","b9","b9"
"KAKUDUKE27","KAKUDUKE",27,"11","c7","c7"
"KAKUDUKE28","KAKUDUKE",28,"12","c8","c8"
"KAKUDUKE29","KAKUDUKE",29,"13","c9","c9"
"KAKUDUKE3","KAKUDUKE",3,"3","A2","A2"
"KAKUDUKE30","KAKUDUKE",30,"14","d10","d10"
"KAKUDUKE31","KAKUDUKE",31,"15","e11","e11"
"KAKUDUKE32","KAKUDUKE",32,"16","f12","f12"
"KAKUDUKE4","KAKUDUKE",4,"4","A3","A3"
"KAKUDUKE5","KAKUDUKE",5,"5","A4","A4"
"KAKUDUKE6","KAKUDUKE",6,"6","A5","A5"
"KAKUDUKE7","KAKUDUKE",7,"7","A6","A6"
"KAKUDUKE8","KAKUDUKE",8,"8","B7","B7"
"KAKUDUKE9","KAKUDUKE",9,"9","B8","B8"
"KAKUHANTEI0","KAKUHANTEI",9,"0","その他","その他"
"KAKUHANTEI1","KAKUHANTEI",1,"1","実態格付と同格付","実態格付と同格付"
"KAKUHANTEI2","KAKUHANTEI",2,"2","親企業格付低下のため","親企業格付低下のため"
"KAKUHANTEI3","KAKUHANTEI",3,"3","財務未取得によりＢ格","財務未取得によりＢ格"
"KAKUHANTEI4","KAKUHANTEI",4,"4","延滞により格付変更","延滞により格付変更"
"KAKUHANTEI5","KAKUHANTEI",5,"5","条変により格付変更","条変により格付変更"
"KAKUHANTEI6","KAKUHANTEI",6,"6","事故により格付変更","事故により格付変更"
"KAKUHANTEI7","KAKUHANTEI",7,"7","改善計画により判定","改善計画により判定"
"KAKUKIKAN01","KAKUKIKAN",1,"01","R&I","外部格付機関-R&I"
"KAKUKIKAN02","KAKUKIKAN",2,"02","JCR","外部格付機関-JCR"
"KAKUKIKAN03","KAKUKIKAN",3,"03","Moodys","外部格付機関-Moodys"
"KAKUKIKAN04","KAKUKIKAN",4,"04","S&P","外部格付機関-S&P"
"KAKUKIKAN05","KAKUKIKAN",5,"05","FITCH","外部格付機関-FITCH"
"KAKUKIKAN99","KAKUKIKAN",99,"99","該当なし","外部格付機関-該当なし"
"KAKUMODOSI0","KAKUMODOSI",9,"0","その他","その他"
"KAKUMODOSI1","KAKUMODOSI",1,"1","格付要修正","格付要修正"
"KAKUMODOSI2","KAKUMODOSI",2,"2","実態財務要修正","実態財務要修正"
"KAKUMODOSI3","KAKUMODOSI",3,"3","財務指標要修正","財務指標要修正"
"KAKUMODOSI4","KAKUMODOSI",4,"4","コメント要修正","コメント要修正"
"KAKUMODOSI5","KAKUMODOSI",5,"5","追加資料要修正","追加資料要修正"
"KAKUMODOSI6","KAKUMODOSI",6,"6","固定先フラグ変更","固定先フラグ変更"
"KAKUMODOSI7","KAKUMODOSI",7,"7","協議","協議"
"KAKUNINKOUMOKU1","R_KAKUNINKOUMOKU",1,"1","通常実行住宅ローン","通常実行住宅ローン"
"KAKUNINKOUMOKU2","R_KAKUNINKOUMOKU",2,"2","一括実行・当初実行時","一括実行・当初実行時"
"KAKUNINKOUMOKU3","R_KAKUNINKOUMOKU",3,"3","一括実行・最終支払時","一括実行・最終支払時"
"KAKUNINKOUMOKU4","R_KAKUNINKOUMOKU",4,"4","保証協会","保証協会"
"KAKUNINKOUMOKU5","R_KAKUNINKOUMOKU",5,"5","収益資金","収益資金"
"KAKUNINKOUMOKU6","R_KAKUNINKOUMOKU",6,"6","収益以外の設備","収益以外の設備"
"KAKUNINSYUDAN1","KAKUNINSYUDAN",1,"1","面前","面前"
"KAKUNINSYUDAN2","KAKUNINSYUDAN",2,"2","電話","電話"
"KAKUTORISAGE0","KAKUTORISAGE",9,"0","その他","その他"
"KAKUTORISAGE1","KAKUTORISAGE",1,"1","先行処理あり","先行処理あり"
"KAKUTORISAGE2","KAKUTORISAGE",2,"2","後発処理あり","後発処理あり"
"KAMOKU0","KAMOKU",99,"0","その他","その他"
"KAMOKU01","KAMOKU",1,"01","割引手形","商業手形割引"
"KAMOKU02","KAMOKU",2,"02","手形貸付","手形貸付"
"KAMOKU03","KAMOKU",3,"03","証書貸付","証書貸付"
"KAMOKU04","KAMOKU",4,"04","当座当貸","当座勘定貸越"
"KAMOKU05","KAMOKU",5,"05","総合口座貸越","総合口座貸越"
"KAMOKU06","KAMOKU",6,"06","総合口座カードローン","総合口座型カードローン"
"KAMOKU07","KAMOKU",7,"07","専用カードローン","融資系カードローン"
"KAMOKU08","KAMOKU",8,"08","専用当貸","一括支払"
"KAMOKU09","KAMOKU",9,"09","外貨貸付","インパクトローン"
"KAMOKU21","KAMOKU",21,"21","代理貸付","代理貸付（保証割合）"
"KAMOKU22","KAMOKU",22,"22","債務保証","債務保証"
"KAMOKU31","KAMOKU",31,"31","取立外為","取立外為"
"KAMOKU32","KAMOKU",32,"32","買入外為","買入外為"
"KAMOKU33","KAMOKU",33,"33","外為債務保証","外為債務保証"
"KAMOKU91","KAMOKU",91,"91","仮払金","仮払金"
"KAMOKU92","KAMOKU",92,"92","未収利息","未収利息"
"KANRENSYUBETU1","KANRENSYUBETU",1,"1","実質同一債務者","実質同一債務者"
"KANRENSYUBETU2","KANRENSYUBETU",2,"2","連結CFグループ","連結CFグループ"
"KASIDASIJYOKEN1","KASIDASIJYOKEN",1,"1","該当","該当"
"KASIDASIJYOKEN2","KASIDASIJYOKEN",2,"2","該当しない","該当しない"
"KATTEIRAI01","KATTEIRAI",1,"01","勝手","勝手（外部格付）"
"KATTEIRAI02","KATTEIRAI",2,"02","依頼","依頼（外部格付）"
"KENGEN1","KENGEN",1,"1","専決","店舗長専決"
"KENGEN2","KENGEN",2,"2","本部","本部"
"KIBO100","KIBO",1,"100","大企業","大企業"
"KIBO200","KIBO",2,"200","中堅企業","中堅企業"
"KIBO300","KIBO",3,"300","中小企業","中小企業"
"KIBO400","KIBO",4,"400","個人(住宅消費資金等)","個人(住宅、消費資金等)"
"KIBO500","KIBO",5,"500","その他","その他"
"KIJITUSYU00001","KIJITUSYU",1,"00001","預金担保","預金担保"
"KIJITUSYU00002","KIJITUSYU",2,"00002","極度期限","極度期限"
"KIJITUSYU00003","KIJITUSYU",3,"00003","保証期限","保証期限"
"KIJITUSYU00004","KIJITUSYU",4,"00004","手形書替","手形書替"
"KIJITUSYU00005","KIJITUSYU",5,"00005","火災保険","火災保険"
"KIJITUSYU00006","KIJITUSYU",6,"00006","生命保険告知書","生命保険告知書"
"KIJITUSYU00007","KIJITUSYU",7,"00007","固定金利選択期日","固定金利選択期日"
"KIJITUSYU00008","KIJITUSYU",8,"00008","延滞","延滞"
"KIJITUSYU00009","KIJITUSYU",9,"00009","その他","その他"
"LAND_CATEGORY1","LAND_CATEGORY",1,"1","土地","土地"
"LAND_CATEGORY2","LAND_CATEGORY",2,"2","雑種地","雑種地"
"LAND_CATEGORY3","LAND_CATEGORY",3,"3","山林","山林"
"LAND_CATEGORY4","LAND_CATEGORY",4,"4","田","田"
"LAND_CATEGORY5","LAND_CATEGORY",5,"5","畑","畑"
"LAND_CATEGORY6","LAND_CATEGORY",6,"6","その他","その他"
"MARKET01","MARKET",1,"01","東証１部","東証１部"
"MARKET02","MARKET",2,"02","東証２部","東証２部"
"MARKET03","MARKET",3,"03","大証１部","大証１部"
"MARKET04","MARKET",4,"04","大証２部","大証２部"
"MARKET05","MARKET",5,"05","東証マザーズ","東証マザーズ"
"MARKET06","MARKET",6,"06","大証ヘラクレス","大証ヘラクレス"
"MARKET07","MARKET",7,"07","上場REIT","上場REIT"
"MARKET08","MARKET",8,"08","ジャスダック","ジャスダック"
"MARKET09","MARKET",9,"09","その他上場","その他上場"
"OTHER","DEFINITION",11,"OTHER","その他権限","ユーザ登録関連で利用"
"PRSSTATUSKBN1","PRSSTATUSKBN",1,"1","延滞無","延滞無"
"PRSSTATUSKBN2","PRSSTATUSKBN",2,"2","未対応","未対応"
"PRSSTATUSKBN3","PRSSTATUSKBN",3,"3","対応中","対応中"
"PRSSTATUSKBN4","PRSSTATUSKBN",3,"4","対応済","対応済"
"R_ADJHASU0","R_ADJHASU",1,"0","なし","なし"
"R_ADJHASU1","R_ADJHASU",2,"1","初回","初回"
"R_ADJHASU2","R_ADJHASU",3,"2","最終回","最終回"
"R_ANSKESSAIKNG1","R_ANSKESSAIKNG",1,"1","支店","支店"
"R_ANSKESSAIKNG2","R_ANSKESSAIKNG",2,"2","本部","本部"
"R_ANTICPNYTYPE1","R_ANTICOMPANYTYPE",1,"1","自社及び自社関連","自社及び自社関連"
"R_ANTICPNYTYPE2","R_ANTICOMPANYTYPE",2,"2","取引先(施工業者含む)","取引先(施工業者含む)"
"R_APPCAUSE01","R_APPCAUSE",1,"01","資金需要が無くなる","資金需要が無くなる"
"R_APPCAUSE02","R_APPCAUSE",2,"02","計画を変更した","計画を変更した"
"R_APPCAUSE03","R_APPCAUSE",3,"03","提案拒否(資金不要)","提案案件拒否(資金不要)"
"R_APPCAUSE99","R_APPCAUSE",4,"99","その他(補足必須)","その他(補足必須)"
"R_APPCONTENTS01","R_APPCONTENTS",1,"01","申込金額変更","申込金額変更"
"R_APPCONTENTS02","R_APPCONTENTS",2,"02","借入期間変更","借入期間変更"
"R_APPCONTENTS03","R_APPCONTENTS",3,"03","購入物件変更","購入物件変更"
"R_APPCONTENTS04","R_APPCONTENTS",4,"04","別の保証機関に変更","別の保証機関に変更"
"R_APPCONTENTS05","R_APPCONTENTS",5,"05","借入種類・商品の変更","借入種類・商品の変更"
"R_APPCONTENTS99","R_APPCONTENTS",6,"99","その他(補足必須)","その他(補足必須)"
"R_APRVLCDN01","R_APRVLCONDITION",1,"01","申込金額の減額","申込金額の減額"
"R_APRVLCDN02","R_APRVLCONDITION",2,"02","融資期間の短縮","融資期間の短縮"
"R_APRVLCDN03","R_APRVLCONDITION",3,"03","取扱金利の見直し","取扱金利の見直し"
"R_APRVLCDN04","R_APRVLCONDITION",4,"04","保全強化","保全強化"
"R_APRVLCDN05","R_APRVLCONDITION",5,"05","その他条件(補足必須)","その他の条件(補足必須)"
"R_APRVLCDNDT01","R_APRVLCDTRSNDT",1,"01","差押履歴あり","差押履歴あり"
"R_APRVLCDNDT02","R_APRVLCDTRSNDT",2,"02","税金・社保滞納中","税金・社保滞納中"
"R_APRVLCDNDT03","R_APRVLCDTRSNDT",3,"03","法的破綻履歴あり","法的破綻(取停、破産等)履歴あり"
"R_APRVLCDNDT04","R_APRVLCDTRSNDT",4,"04","代位弁済履歴あり","代位弁済履歴あり"
"R_APRVLCDNDT05","R_APRVLCDTRSNDT",5,"05","借入金返済延滞中","借入金返済延滞中"
"R_APRVLCDNDT06","R_APRVLCDTRSNDT",6,"06","人物面不良","人物面不良"
"R_APRVLCDNDT07","R_APRVLCDTRSNDT",7,"07","その他(補足必須)","その他(補足必須)"
"R_APRVLCDTRSN01","R_APRVLCDTRSN",1,"01","当庫融資基準に抵触","当庫融資基準に抵触"
"R_APRVLCDTRSN02","R_APRVLCDTRSN",2,"02","財務内容に問題あり","財務内容に問題あり"
"R_APRVLCDTRSN03","R_APRVLCDTRSN",3,"03","返済財源不足","返済財源不足"
"R_APRVLCDTRSN04","R_APRVLCDTRSN",4,"04","保証機関の総合的判断","保証機関の総合的判断"
